method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
Schema-Constraint,A3_feature_calc_error,small,7,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,8,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,10,0,0,0,0.1,1.0,0.45228004455566406,9
Schema-Constraint,A3_feature_calc_error,small,8,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,9,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,11,0,0,0,0.09090909090909091,1.0,0.4458427429199219,9
Schema-Constraint,A3_feature_calc_error,small,9,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,10,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,6,0,0,0,0.16666666666666666,1.0,0.43511390686035156,9
Schema-Constraint,A3_feature_calc_error,small,10,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,11,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.45371055603027344,9
Schema-Constraint,A3_feature_calc_error,small,11,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,25,0,0,0,0.04,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,12,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4811286926269531,9
Schema-Constraint,A3_feature_calc_error,small,12,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,13,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4470348358154297,9
Schema-Constraint,A3_feature_calc_error,small,13,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,14,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.45013427734375,9
Schema-Constraint,A3_feature_calc_error,small,14,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,25,0,0,0,0.04,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,15,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,9,0,0,0,0.1111111111111111,1.0,0.45490264892578125,9
Schema-Constraint,A3_feature_calc_error,small,15,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,16,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,7,0,0,0,0.14285714285714285,1.0,0.4630088806152344,9
Schema-Constraint,A3_feature_calc_error,small,16,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,17,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,15,0,0,0,0.06666666666666667,1.0,0.44918060302734375,9
